pslFOdist,1.41421,0.644468,0.369557,DZ200500,CFSR,HR_TS
wcFOdist,1.09308,0.469457,0.301183,DZ200500,CFSR,HR_TS
pslFOmag,1.04982,0.317153,0.342701,DZ200500,CFSR,HR_TS
wcFOmag,0.559934,0.184046,0.177991,DZ200500,CFSR,HR_TS
wcOffset,0.3787,0.190076,0.087786,DZ200500,CFSR,HR_TS
trajMinLen,0.210113,0.056627,0.070533,DZ200500,CFSR,HR_TS
minWind,0.197132,0.086322,0.053452,DZ200500,CFSR,HR_TS
trajMaxGap,0.106137,0.051779,0.02563,DZ200500,CFSR,HR_TS
trajRange,0.0197496,0.008747,0.005302,DZ200500,CFSR,HR_TS
mergeDist,0.011852,0.00668,0.002124,DZ200500,CFSR,HR_TS
maxLat,0.0092077,0.005182,0.001658,DZ200500,CFSR,HR_TS
maxTopo,0.00637837,0.003631,0.001105,DZ200500,CFSR,HR_TS
