0,1,100000,0.5,100000,0
0,0.997,99700,1.5,99850,1
0,0.994,99400,2.5,99550,2
0,0.989,98900,3.5,99149.9,3
0,0.982,98200,4.5,98549.8,4
0,0.972,97200,5.5,97699.6,5
0,0.96,96000,6.5,96599.4,6
0,0.946,94600,7.5,95299.1,7
133.0510113,0.92666949,92800,8.5,93698.6,8
364.9041489,0.904350959,90800,9.5,91798.2,9
634.6027164,0.879653973,88600,10.5,89697.8,10
959.7971673,0.851402028,86100,11.5,87347,11
1347.680042,0.8195232,83300,12.5,84696.1,12
1790.907396,0.785090926,80300,13.5,81795.4,13
2294.84169,0.748051583,77100,14.5,78694.6,14
2847.484778,0.709525152,73800,15.5,75444,15
3468.871488,0.668311285,70300,16.5,72042.9,16
4162.956463,0.624370435,66600,17.5,68441.7,17
4891.880833,0.580081192,62900,18.5,64741.2,18
5671.82424,0.534281758,59100,19.5,60990.1,19
6476.712996,0.48823287,55300,20.5,57189.5,20
7297.469895,0.442025301,51500,21.5,53388.7,21
8122.159791,0.395778402,47700,22.5,49587.9,22
8914.082201,0.350859178,44000,23.5,45837.6,23
9656.181911,0.307438181,40400,24.5,42187.2,24
10329.43618,0.265705638,36900,25.5,38636.8,25
10912.63844,0.225873616,33500,26.5,35186.3,26
11369.64783,0.189303522,30300,27.5,31886.6,27
11695.3716,0.155046284,27200,28.5,28736.1,28
11861.25309,0.124387469,24300,29.5,25736.4,29
11855.43432,0.096445657,21500,30.5,22885.7,30
11663.35537,0.072366446,18900,31.5,20186,31
11285.40406,0.052145959,16500,32.5,17686.4,32
10729.94941,0.035700506,14300,33.5,15386.9,33
10014.61505,0.022853849,12300,34.5,13287.5,34
9167.247036,0.01332753,10500,35.5,11388.1,35
8226.244908,0.006737551,8900,36.5,9689,36
7201.56898,0.00248431,7450,37.5,8164.3,37
6088.673009,0.00011327,6100,38.5,6763.8,38
4950,0,4950,39.5,5515,39
4000,0,4000,40.5,4466.6,40
3230,0,3230,41.5,3608.1,41
2610,0,2610,42.5,2914.5,42
2105,0,2105,43.5,2353,43
1700,0,1700,44.5,1898.9,44
1370,0,1370,45.5,1532,45
1105,0,1105,46.5,1235.1,46
893,0,893,47.5,997.1,47
720,0,720,48.5,804.9,48
581,0,581,49.5,649.3,49
469,0,469,50.5,524,50
377,0,377,51.5,422.2,51
301,0,301,52.5,338.3,52
237,0,237,53.5,268.4,53
182,0,182,54.5,208.9,54
136,0,136,55.5,158.4,55
97,0,97,56.5,116,56
65,0,65,57.5,80.5,57
39,0,39,58.5,51.5,58
20,0,20,59.5,29,59
0,0,0,60.5,10,60
